component;type;direction;unit;NE3;NE4;NE5;NE6;NE7
Netznutzungsentgelt;power;consumption;€/MW/a;45240;55200;67560;69240;52320
Erneuerbaren Förderbeitrag (Netznutzungsentgelt);power;consumption;€/MW/a;5774;7540;6796;7358;7102
Netznutzungsentgelt;energy;consumption;€/MWh;7.1;10;14;23.9;62
Netzverlustentgelt;energy;consumption;€/MWh;2.1;2.12;2.25;3.83;4.52
Netzverlustentgelt;energy;feedin;€/MWh;3.04;3.04;3.04;3.04;3.04
Erneuerbaren Förderbeitrag (Netznutzungsentgelt + Netzverlustentgelt);energy;consumption;€/MWh;1.34;1.7;1.99;2.89;5.16
Elektrizitätsabgabe;energy;consumption;€/MWh;15;15;15;15;15
Systemdienstleistungsentgelt;energy;feedin;€/MWh;0.84;0.84;0.84;0.84;0.84
Erneuerbaren Förderpauschale;annual;consumption;€/a;60524.03;60524.03;8992.14;553.36;19.02
Umsatzsteuer;tax;both;%;20;20;20;20;20
