component;type;direction;unit;NE3;NE4;NE5;NE6;NE7
Netznutzungsentgelt;power;consumption;€/MW/a;42000;47400;57000;60600;85440
Erneuerbaren Förderbeitrag (Netznutzungsentgelt);power;consumption;€/MW/a;5774;7540;6796;7358;7102
Netznutzungsentgelt;energy;consumption;€/MWh;5.4;7.9;13.5;19.7;42.1
Netzverlustentgelt;energy;consumption;€/MWh;1.2;1.58;1.93;3.39;7
Netzverlustentgelt;energy;feedin;€/MWh;3.04;3.04;3.04;3.04;3.04
Erneuerbaren Förderbeitrag (Netznutzungsentgelt + Netzverlustentgelt);energy;consumption;€/MWh;1.34;1.7;1.99;2.89;5.16
Elektrizitätsabgabe;energy;consumption;€/MWh;15;15;15;15;15
Systemdienstleistungsentgelt;energy;feedin;€/MWh;0.84;0.84;0.84;0.84;0.84
Erneuerbaren Förderpauschale;annual;consumption;€/a;60524.03;60524.03;8992.14;553.36;19.02
Umsatzsteuer;tax;both;%;20;20;20;20;20
Gebrauchsabgabe;tax;both;%;6;6;6;6;6
